time,y
28-Aug-1987,6.36549311177984
07-Sep-1987,1.15776312558043
25-Sep-1987,-30.8973595754091
28-Oct-1987,-25.6513017582536
16-Dec-1987,-16.3554924242424
21-Jan-1988,-7.99091032822362
24-Feb-1988,0.256117417727325
25-Mar-1988,-16.4367715617716
22-Apr-1988,-26.1788570691435
04-Jul-1988,-20.5519068672126
29-Jul-1988,-16.9683132140148
02-Aug-1988,-21.6929536966302
26-Aug-1988,-12.8860617812506
13-Sep-1988,-7.78518676758547
19-Sep-1988,-22.1430652680653
27-Sep-1988,-23.1879752192252
05-Jun-1989,-14.6320214330896
20-Jun-1989,-18.4771891227967
04-Jul-1989,-14.2076278167996
19-Jul-1989,-4.31189774257956
02-Aug-1989,-6.87036081027624
23-Aug-1989,-11.8416730328495
31-Aug-1989,-13.1219714739452
14-Sep-1989,-10.8108215866992
29-Sep-1989,-1.99120229982682
09-Oct-1989,-9.08916083916084
29-Nov-1989,-6.86163575362358
20-Dec-1989,-18.6720873328494
18-Jan-1990,-13.6771716029069
14-Feb-1990,-4.04827189054618
02-Mar-1990,-3.16081671106916
16-Mar-1990,-5.33233388103431
25-Apr-1990,-5.52341957226562
17-May-1990,-3.43159744667098
28-May-1990,2.794883714663
25-Jun-1990,13.2605806355806
11-Jul-1990,13.0277107301301
25-Jul-1990,14.8568084652251
04-Aug-1990,12.7701782866257
05-Aug-1990,6.86016680370227
17-Aug-1990,11.4471043217033
14-Sep-1990,25.9655383735107
19-Sep-1990,25.5359438791817
21-Sep-1990,17.447699091961
02-Oct-1990,14.5727641923294
12-Oct-1990,11.1821313996007
19-Oct-1990,11.3205533613278
21-Oct-1990,12.42231993093
25-Oct-1990,-7.67853743478743
02-Nov-1990,-4.89803823627353
05-Mar-1991,-11.8366441414623
18-Mar-1991,-7.94140307297332
23-May-1991,-0.346969696969697
30-May-1991,-2.31065797980469
27-Jun-1991,10.8150848547588
12-Jul-1991,9.01658494160429
20-Nov-1991,-4.55946894015076
20-Apr-1992,-24.5179323126893
19-May-1992,-15.6354456941413
16-Jun-1992,-12.5901319043996
16-Jul-1992,-5.54983324170279
27-Aug-1992,5.35741152122731
14-Apr-1993,-26.9852317929184
25-May-1993,-17.2626494304816
18-Aug-1993,-5.27661058726284
27-Apr-1994,-2.47129001173119
10-Jun-1994,6.48947897311651
21-Jul-1994,13.4121905814538
07-Oct-1994,-13.1334513869344
21-Feb-1995,-6.2709539326791
09-Mar-1995,-3.64405686879653
06-Apr-1995,-4.60241275176526
21-Apr-1995,-1.96809991721059
17-May-1995,-5.26504987960096
07-Sep-1995,23.5519035719104
04-Oct-1995,-0.416340548708188
09-Nov-1995,2.49871838687628
05-Feb-1996,14.3162454936368
29-Feb-1996,7.52577561327561
19-Apr-1996,6.98239519786834
21-May-1996,7.6780243903369
19-Jun-1996,18.8535100813685
17-Jul-1996,14.9916924529224
13-Sep-1996,5.31713463733939
30-Sep-1996,-8.13225806451613
11-Oct-1996,-4.00704789741219
11-Nov-1996,1.28448649842145
12-Dec-1996,4.05275974025974
10-Jan-1997,2.43248229043684
12-Feb-1997,3.86851271537972
13-Mar-1997,11.4321466576901
09-Apr-1997,15.2700456545398
07-May-1997,21.5095080787805
05-Jun-1997,16.8511858690845
09-Jul-1997,29.2290139517156
31-Jul-1997,22.9997962563752
05-Sep-1997,20.8485467439337
02-Oct-1997,-3.23219472974375
29-Oct-1997,3.6673060771358
28-Nov-1997,12.6877254689755
19-Dec-1997,13.9717964562462
14-Jan-1998,17.5677803626131
19-Feb-1998,9.3450834081639
19-Mar-1998,-7.65619276878952
22-Apr-1998,3.18235988271873
28-May-1998,17.6059503324529
15-Jun-1998,5.64118757847967
24-Jul-1998,12.2787116916219
24-Aug-1998,19.7633112155775
04-Sep-1998,18.0226234401907
24-Sep-1998,14.5537140624029
04-Nov-1998,8.22680420998879
01-Dec-1998,8.26845803418984
07-Jan-1999,15.7336674955414
26-Jan-1999,20.9289317807817
16-Feb-1999,19.2191874989476
19-Mar-1999,10.9263999459433
22-Apr-1999,7.56433213251395
18-May-1999,10.7612378553689
14-Jul-1999,14.2555537127132
30-Jul-1999,26.9255794253185
13-Aug-1999,22.4855442670036
26-Aug-1999,25.9618470647622
08-Sep-1999,30.7960995160362
12-Oct-1999,19.531961214274
22-Nov-1999,8.84678056139023
08-Dec-1999,10.4223254096302
14-Jan-2000,11.1412796100194
24-Feb-2000,15.6500402176239
08-Mar-2000,21.7571529038407
21-Apr-2000,11.1165289373098
09-May-2000,15.9526097452711
02-Jun-2000,24.012528540108
03-Jul-2000,30.8212979335761
01-Aug-2000,19.3049696340524
12-Sep-2000,10.2199276042155
