time,y
1986-03-12 00:00:00,-16.40625
1986-03-13 00:00:00,-16.12903226
1986-03-14 00:00:00,-16.12903226
1986-03-15 00:00:00,-17
1986-03-16 00:00:00,-19.41176471
1986-03-17 00:00:00,-18.61111111
1986-03-18 00:00:00,-18.2
1986-03-19 00:00:00,-17.8
1986-03-20 00:00:00,-17.40740741
1986-03-21 00:00:00,-18.51851852
1986-03-22 00:00:00,-18.94736842
1986-03-23 00:00:00,-21.21212121
1986-03-24 00:00:00,-28.88888889
1986-03-25 00:00:00,-29.09090909
1986-03-26 00:00:00,-28.92857143
1986-03-27 00:00:00,-27.64705882
1986-03-28 00:00:00,-27.5
1986-03-29 00:00:00,-26.76470588
1986-03-30 00:00:00,-28.75
1986-03-31 00:00:00,-26.36363636
1986-04-01 00:00:00,-27.91666667
1986-04-02 00:00:00,-25.90909091
1986-04-03 00:00:00,-26
1986-04-04 00:00:00,-25.90909091
1986-04-05 00:00:00,-25.45454545
1986-04-06 00:00:00,-24.16666667
1986-04-07 00:00:00,-25
1986-04-08 00:00:00,-23.33333333
1986-04-09 00:00:00,-22.14285714
1986-04-10 00:00:00,-20
1986-04-11 00:00:00,-20
1986-04-12 00:00:00,-20.35714286
1986-04-13 00:00:00,-19.54545455
1986-04-14 00:00:00,-18.75
1986-04-15 00:00:00,-18.33333333
1986-04-16 00:00:00,-18.94736842
1986-04-17 00:00:00,-18.4375
1986-04-18 00:00:00,-18.66666667
1986-04-19 00:00:00,-17.66666667
1986-04-20 00:00:00,-17.36842105
1986-04-21 00:00:00,-17.5
1986-04-22 00:00:00,-17.35294118
1986-04-23 00:00:00,-17.85714286
1986-04-24 00:00:00,-21.66666667
1986-04-25 00:00:00,-20
1986-04-26 00:00:00,-19.61538462
1986-04-27 00:00:00,-20.5
1986-04-28 00:00:00,-19.64285714
1986-04-29 00:00:00,-18.18181818
1986-04-30 00:00:00,-17.5
1986-05-01 00:00:00,-17.85714286
1986-05-02 00:00:00,-17.85714286
1986-05-03 00:00:00,-17.14285714
1986-05-04 00:00:00,-17.5
1986-05-05 00:00:00,-17.5
1986-05-06 00:00:00,-15
1986-05-07 00:00:00,-13
1986-05-08 00:00:00,-11.81818182
1986-05-09 00:00:00,-11
1986-05-10 00:00:00,-9.545454545
1986-05-11 00:00:00,-9
1986-05-12 00:00:00,-7.894736842
1986-05-13 00:00:00,-6.666666667
1986-05-14 00:00:00,-7.5
1986-05-15 00:00:00,-15.38461538
1986-05-16 00:00:00,-13.57142857
1986-05-17 00:00:00,-11.25
1986-05-18 00:00:00,-10
1986-05-19 00:00:00,-10
1986-05-20 00:00:00,-10.83333333
1986-05-21 00:00:00,-6.666666667
1986-05-22 00:00:00,-6.111111111
1986-05-23 00:00:00,-17.69230769
1986-05-24 00:00:00,-23.33333333
1986-05-25 00:00:00,-22.5
1986-05-26 00:00:00,-20.90909091
1986-05-27 00:00:00,-19.58333333
1986-05-28 00:00:00,-18.75
1986-05-29 00:00:00,-17
1986-05-30 00:00:00,-16.66666667
1986-05-31 00:00:00,-16.25
1986-06-01 00:00:00,-15.45454545
1986-06-02 00:00:00,-15.45454545
1986-06-03 00:00:00,-15.83333333
1986-06-04 00:00:00,-15
1986-06-05 00:00:00,-9.642857143
1986-06-06 00:00:00,-9.772727273
1986-06-07 00:00:00,-17.5
1986-06-08 00:00:00,-15.41666667
1986-06-09 00:00:00,-12.5
1986-06-10 00:00:00,-9.411764706
1986-06-11 00:00:00,-8.684210526
1986-06-12 00:00:00,-8.235294118
1986-06-13 00:00:00,-8.214285714
1986-06-14 00:00:00,-8
1986-06-15 00:00:00,-8.076923077
1986-06-16 00:00:00,-8.076923077
1986-06-17 00:00:00,-8.214285714
1986-06-18 00:00:00,-7
